,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA
210,2,BN00244,"BAN INOX 14""ØX 1 1/2"" 1500W240V C/ALLEN",992.0,201.21,201.21,1984.0
211,2,BN00245,"BAN INOX 16""ØX1 1/2"" 1750W 240V C/ALLEN",1109.22,188.85,188.85,2218.44
212,2,BN00246,"BAN INOX 20""ØX 11/2"" 2300W 240C C/ALLEN",1112.0,297.2,297.2,2224.0
213,7,BP00249,"BAN P INOX 7""X1 1/2"" 900W 240V T/TOR",725.1,30.17,30.17,5075.7
214,2,PJ140FD1A000,"TER J 1/4""X1/2"" EXT1MT TORNILLO LOCO",387.45,54.82,54.82,774.9
215,2,TUE00179,"TUB INOX 5/16""Øx197CM 2500W 220V ""M"" ESP",1674.0,0.0,187.31,3348.0
216,2,RC00025,"RC 5/8""ØX748MM 1100W220V T/TORNILLO",960.0,0.0,366.42,1920.0
217,2,CS58H1060A00,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",689.92,112.8,112.8,1379.84
218,2,CS58H1060A00,"CAS INOX 5/8""ØX4"" 600W 127V EXT 30CM",689.92,112.8,112.8,1379.84
219,1,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0,0.0,227.18,813.0
220,3,CBS00101,CBS INOX 27MMØX180CM 1000W 440V CAJA ESP,3200.0,0.0,427.12,9600.0
221,6,TUA00427,"TUB INCOL 5/16""ØX355MM 9000W240V J T/BOI",3105.0,0.0,369.07,18630.0
222,10,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,101.99,101.99,3550.0
223,2,TEE00017,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,0.0,1204.71,4436.54
224,1,CS12J2025A00,"CAS INOX 1/2""X5"" 250W 240V EXT30CM",650.32,0.0,74.08,650.32
225,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22,1179.22,1615.0
226,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22,1179.22,1615.0
227,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22,1179.22,1615.0
228,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22,1179.22,1615.0
